caseid,unique.id,year,year_1984,year_1988,year_1992,year_1996,year_2000,year_2004,year_2008,year_2012,year_2016,year_2020,weight.combined,mode,age.18.39,age.40.64,age.64.plus,pid7,pid3,pid.rep,pid.dem,pid.pureind,pid.leaner,pid.strong,pid.weak,race,race.white,race.black,race.other,female,college,pol.int,ideo7,trust,dislikeanything.rep,repdislikes,replikes.orig,dislikeanything.dem,demdislikes,demlikes.orig
74,74,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,1,0,0.666666667,5,29,1,They should be dealing with other nations better Our relations should be improved I think a way could be found to deal successfully with them without there being the threat of nuclear war,"The Republicans attempt to straighten out the budget, to improve the economy.  To improve, that is, to decrease the unemployment rate.  Their record is very good on this, although it cannot be done overnight.  It takes time to see the results.  The lowering of cost of living increases and the reduction in interest rates.",1,Their spending habits Every time a Democrat is in office there is a definite increase in spending They promise to balance the budget but instead they make it worse As they make it worse increase spending there is more money in the market resulting therefore in decreasing the value of the dollar and increasing the cost of living and making things worse again This results in raising interest rates Unemployment skyrockets,They tend to prefer peace and a discontinuation of the arms race more than the Republican party.  They want to see a slowing down of the nuclear warheads that are being put into Europe.  They seem to be strongly in favor of coming up with some form of a peace treaty with the other large nations--like China and the Soviet Union.
75,75,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,1,0,0.666666667,3,21,1,The reduction of social programs the general monetary policy that is the lack of control over interest rates I think our military intervention where we dont belongSouth and Central America and the Middle East,"Their giving powers back to the States, reducing dependence on the federal government.",1,Their lack of planning and foresight Their emphasis on only tax increases for funding programs Their whole thrust is to raise taxes to fund necessary social programs and I think there are other ways for the funding to become available Cut the waste in government and use the funds for such programs as AFDC child care programs food stamps and medical programs,"Their emphasis on providing a reasonable means of life for everyone.  Their emphasis on social programs. training programs for women, and providing child care programs so that mothers can work."
76,76,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,0,0,1,3,29,1,The party is very decisively higher in leaning toward higher income groups and corporate structures I dont agree with their foreign trade standards Very few things we buy are not from here,More of a tendency to make more decisive issues.,1,Free programs I feel everybody should work for what they get I think in recent years wishywashy stands in foreign policies assy handling on Vietnam war,It's more for the middle class people.
77,77,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,1,1,0.666666667,3,67,0,NA,NA,0,NA,NA
78,78,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,7,Republican,1,0,0,0,1,0,1,1,0,0,0,0,1,5,79,0,NA,Conservative views.  His policies.,0,NA,NA
79,79,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,0.333333333,5,17,0,NA,NA,0,NA,NA
80,80,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,1,0,0.333333333,3,71,0,NA,NA,0,NA,NA
81,81,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,0,0,0.666666667,4,29,0,NA,NA,0,NA,NA
82,82,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,7,Republican,1,0,0,0,1,0,1,1,0,0,1,0,0.333333333,9,NA,NA,NA,"They're never as radical as the Democrats, speeches and all.",0,NA,NA
83,83,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,7,Republican,1,0,0,0,1,0,1,1,0,0,1,0,0.666666667,9,67,0,NA,I like it.  How they handle affairs.,1,Too liberal They would let things run away Before you know it there would be no social security no medicare nothing,NA
84,84,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,5,Republican,1,0,0,1,0,0,1,1,0,0,0,0,1,6,17,0,NA,They've got a better success record since Eisenhower.,0,NA,They've got some good people in it.  Of course  they got their battles too but the Republicans got the same problem.  They got some crooks in the party.  Of course so have Republicans.
85,85,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,0,0,0.333333333,2,21,1,They dont keep the small man working,NA,0,NA,NA
86,86,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,0,1,7,8,1,Not compassionate or understanding enough They only feel for the rich If you got it you got it Otherwise you fall by the wayside,NA,1,Theyre not all that good Theyre not forceful enough,They're more compassionate and understanding of the working class.  They have a feeling for working class.
87,87,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,1,6,67,0,NA,NA,0,NA,I'm a conservative Democrat.  I believe we should help the poor and needy and not feather the nest of the richerI'm emotionally involved.  I feel for the people that can't meet their daily needs.
88,88,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,2,Democrat,0,1,0,0,0,1,2,0,1,0,1,0,0.333333333,9,88,0,NA,NA,0,NA,NA
89,89,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,0,0,0.666666667,4,33,1,They seem to favor the higher class people They get better breaks more tax writeoffs They get to declare more I pay taxes cant deduct anything,NA,0,NA,They're more for the blue collar worker.
90,90,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,5,Republican,1,0,0,1,0,0,1,1,0,0,1,0,1,6,NA,0,NA,More conservative.  They're more thinking.,1,They are a bunch of rabble rousers They cant even sit down to discuss anything They have to fight about it Im thinking as a whole,NA
91,91,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,0,0,0.666666667,2,29,0,NA,NA,0,NA,NA
92,92,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,1,1,0.666666667,4,8,1,Dont like them cutting back funds to poor They have tendency to do this Republicans are more for big business,NA,1,I dont like to see unions gets so strong that theyre corrupt Dont like to see Democrats behind corruption,"They are more for little man, labor, education, women, equal rights for minority groups.  Reagan has cut welfare.  Democrats are more for separation of religion and state.  More for lower interest rates, make economy better."
93,93,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,0,0.333333333,5,22,NA,NA,NA,1,I dont like the choice of vice president for the Democratic ticket I believe that Mondale would be dead and a woman would be in there,They are for the middle class people.  Forty-five years a Democrat.
94,94,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,0.666666667,5,67,1,They are a little too much big business oriented Theres an awful lot of money wasted on silly things They arent being watched closely enough on spending in defense department That Christian people who send their children to christian schools dont get help tax help because it is a choice,"I like what he did in Grenada.  The fact that James Watt resigned.  He's tough on the Russians.  I like what he did with the Air Traffic Controllers.  He said, ""If you walk out, I'll fire you"" and he did.  The stock market has gone up.  People are spending more.  His stand on abortions.  If there is a minor going for abortion, they definitely want parents consent.",1,Their stand on international affairs and they cant handle the economy as well I think they picked Gerry Ferraro just because she was a woman I question whether he did it because shes the best qualified or just to be a history maker,"They worry more about pleasing the minorities and the poor.  They try to reach more than just the average person, the less fortunate.  They are more concerned with national affairs, the environment, social services, things like that."
95,95,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,5,Republican,1,0,0,1,0,0,2,0,1,0,1,0,0.666666667,4,8,1,NA,It seems that they stop wars.,1,They always start a war,NA
96,96,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,1,Democrat,0,1,0,0,1,0,2,0,1,0,1,0,1,2,8,1,They dont really consider minorities Theyre weak when it comes to women in politics They back Reagan I dont particularly care for the people the strong Republicans their views Watching the convention I saw a lot of people I did not like,NA,0,NA,"They're liberal.  Tend to involve more Blacks.  Their views on world affairs, more liberal.  Not such a rush to get into a war.  More sympathetic toward minority problems.  They involve women."
97,97,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,7,Republican,1,0,0,0,1,0,1,1,0,0,1,1,0.666666667,6,8,0,NA,More conservative.  Not so anxious to get us into war.,0,NA,NA
98,98,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,1,0.666666667,2,8,1,Reagan Our Republican Senator is opposed to the ERA Im opposed to the persecution of the Rajmeshpurnam here in Oregon that is being done largely by the Republican Senator,NA,1,Im still antiHubert Humphrey and Mondale because of their support of the Vietnam war I object to the bombastic and distortions of the claims of all the things theyll do when elected,It chose a woman for vice president.  It's for the E.R.A.  It's not anti-abortion.
99,99,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,7,Republican,1,0,0,0,1,0,1,1,0,0,0,0,1,4,33,0,NA,Conservative and they push private enterprise.  Government has stepped into too much of our lives.  Much has been done better.  Private enterprise will solve these job problems.,1,The deficit They set us up Johnson and the whole bunch,NA
100,100,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,0,1,4,NA,1,I dont like anything they do Have never been for labor or the elderly In World War 11 they borrowed money from social security and never replaced it,NA,0,NA,"Strictly for labor.  More apt to work with labor than against it.  Far as benefits for elderly, they're going to work to help the elderly and the colored people."
101,101,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0,9,0,1,I dont like that they only care about big business and all the rich people They give all the benefits to people who dont need them,NA,0,NA,They care about the people.  They make sure they allow monies for government programs so everyone can eat and pay their bills.
102,102,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,7,Republican,1,0,0,0,1,0,1,1,0,0,1,0,0.666666667,6,75,1,They may too conservative on some issues The religious bit Theyre trying to get religion and state back together and thats not right Religion and state should be separate,"They're more business oriented.  The Republicans run the business of the country and Democrats think of little groups.  Healthy businesses help everyone, not just some of us.  More business means more jobs which means everyone benefits.",1,It changes I used to be a registered Democrat Maybe it has to do with my affluence now I think the Democrats are too socialistic A socialized society doesnt work in Russia and England and it wont work here People who work harder should get rewarded more than those who dont work as hard Im not that conservative I believe in equal right I don think people should be discriminated against nut I dont think that people by that are new to the country should be just given things People rom other countries should work for their position here and not just get money from the government,NA
103,103,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,0,0,1,2,21,1,They are just for big business They dont want to help middle class or poverty class they are just for rich people they dont seem to want to cut interest rates or federal deficit,"They've kept us out of war.  So far anyway, any major wars.  They kept us out of war in South America so far and the Middle East.",1,Just wars Theyve cost us a few lives,Usually they cut interest rates while they are in office.  Economy straightens out.
104,104,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0.333333333,4,8,0,NA,NA,0,NA,NA
105,105,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,6,Republican,1,0,0,0,0,1,1,1,0,0,1,1,0.666666667,4,58,0,NA,NA,0,NA,NA
106,106,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,0,0,0.666666667,9,58,1,I think they should do something about women Equal work deserves equal pay and they are equal They go back and forth Neither party handles this well Abortion issue I dont think its right to kill a life like that,NA,0,NA,NA
107,107,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,6,Republican,1,0,0,0,0,1,1,1,0,0,0,0,0.666666667,6,21,0,NA,Seem to be more conservative.  The Democrats are more liberal and I go along with the platform of the Republicans than the Democrats.,0,NA,NA
108,108,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,0.666666667,4,8,0,NA,They helped country as a rule but sometimes they don't.  They just help the country when they are in.,NA,NA,NA
109,109,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,0,0,0.666666667,5,8,1,I dont like them favoring the rich more than the poor Try to listen to the rich and favor them more than the poor,"At present, has a strong defense policy.  Keeps our country strong against other countries.",NA,NA,They are for the people more than the Republicans.
110,110,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,1,1,3,NA,1,Business before people They are more concerned with big business than whats good for the people,NA,0,NA,"I always felt that the Democratic party was a people's party, a party to benefit the working class."
111,111,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,1,Democrat,0,1,0,0,1,0,2,0,1,0,0,0,1,4,11,1,Some things to my notion they dont pay as much Everything goes lowerwages are lower food goes higher,NA,0,NA,"I just like the Democratic party, always did.  The way they handle things.  The way they situation things off better--wages and getting jobs.  They pay more."
112,112,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,0,0,0.333333333,6,11,0,NA,NA,0,NA,NA
113,113,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,6,Republican,1,0,0,0,0,1,1,1,0,0,1,0,0.333333333,9,67,0,NA,NA,0,NA,NA
114,114,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,6,Republican,1,0,0,0,0,1,1,1,0,0,0,0,0.333333333,3,67,1,Defense spending Do better with a different vice presidential candidate Vice president not active enough dont hear about him,"A good strong leadership in [REDACTED LOCATION].  Over last 4 years, done pretty well nationally.  They've been able to be strong in Congress getting things passed.  They're good about swaying people, that is Congress, and get thing through that are necessary.",1,Walter Mondale Economic policies as far as balancing budget More heavily towards internal side They lay back on foreign and defense They go too far internally helping out the poor,Elected female vice presidential candidate.  Had Hart as a leading g candidate.  Very strong contender in Jesse Jackson.
115,115,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,7,Republican,1,0,0,0,1,0,1,1,0,0,1,0,0.666666667,9,54,0,NA,I've always been a Republican.,0,NA,NA
116,116,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,1,0,0.333333333,3,56,0,NA,NA,0,NA,NA
117,117,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,5,Republican,1,0,0,1,0,0,2,0,1,0,0,0,1,4,NA,0,NA,"I like their organization.  They're working as a team, presenting a solid image, honesty and integrity are their strong points.  They're confident in themselves.  I like the way they do business with foreign countries showing the U.S. in a strength position.  They have, in Ronald Reagan, a solid leader and a president to be proud of.  You know, this is the greatest nation on the face of the earth and they will help us keep it that way.",1,They dont have a platform They are lacking in structure and purpose in their campaign They are lacking a united image Theres a great deal of animosity within the party between a lot of Democrats Between Mondale Hart and Jackson I just dont feel the Democratic party has it together,NA
118,118,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0.333333333,9,21,NA,NA,NA,NA,NA,NA
119,119,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0.333333333,9,46,NA,NA,NA,NA,NA,NA
120,120,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,0,0,0.666666667,4,NA,NA,NA,NA,NA,NA,NA
121,121,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,5,Republican,1,0,0,1,0,0,1,1,0,0,0,0,1,1,17,1,Their obstinate tenacity for goal refuse to bend,"If they say they are going to do something, they do it.  More wealthy people stand up for their convictions.  Rockefeller as example ideal.  Democrat asked how much money, Rockefeller said when you reach that bracket, you don't count.",1,As a former Democrat that moved over to Republican too darn many radicals those that call themselves moderate are extremists Take G Wallace from an extreme segregationist now one of our greatest liberals,"Quite a bit open party, heal their wounds.  It's a big conglomeration of everything.  That's the only party that lacked a jackass."
122,122,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,7,Republican,1,0,0,0,1,0,1,1,0,0,0,0,1,6,54,0,NA,"They favor tax incentives, less government and more private responsibility.  Government can't regulate everything. Let free enterprise take over.  The government can't take care of high and low spots of economy.  They can't fix everything.  Basically less control and less taxes I hope someday.",1,Economic philosophy and social philosophy Theres always a government program for everybody and theres always a handout They want to tax business and rich so they can give it to the poor They dont want to make it so business can expand and create new jobs so they can go back to work,NA
123,123,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,6,Republican,1,0,0,0,0,1,1,1,0,0,0,0,1,4,58,1,They are a little bit too conservative They are trying to cut social programs that are essential There should be a third party right in the middle,"At this time, we need to be more conservative.  They are firm on foreign policy.  It's not a forget it thing.  It strengthens our position with foreign nations.",1,Its a little too liberal with the freeloaders There are people who are really in need That doesnt bother me Why dont they crack down on the yahoos were paying for I dont like foreign policy They are too liberal without backbone Iran It happened in El Salvador They just let it go The embargo cost the poor farmers millions and the Olympic thing Not participating was really stupid They are always trying to run people down instead of being positive I wish they would stop doing that There are so many things they could be positive on,Middle and lower class people are treated better by Democratic party.
124,124,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,0,0,0.333333333,9,NA,0,NA,NA,0,NA,NA
125,125,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,6,Republican,1,0,0,0,0,1,1,1,0,0,0,0,0.333333333,6,21,0,NA,NA,0,NA,NA
126,126,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0.333333333,9,33,NA,NA,NA,NA,NA,NA
127,127,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,7,Republican,1,0,0,0,1,0,1,1,0,0,1,1,0.666666667,2,NA,0,NA,"We've always been a Republican family.  I don't know much about Democrats.  I vote for the man, not the party.",NA,NA,NA
128,128,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,0,0.666666667,4,67,1,From years back I think that being too closely knit has caused them problems Well Watergate of course,"With the right person as the head of the party makes it run very smoothly.  From Reagan, I admire him, and I think he works well with his party.",0,NA,"They are more open to the overall view of all the people.  The Republicans seem to be a more closely knit party.  Democrats reach out to everybody, to help everybody."
129,129,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,1,Democrat,0,1,0,0,1,0,2,0,1,0,0,0,1,6,8,1,I dont like the way theyre running the White House The way they have the cost of living for the poor The economy The dealing with foreign countries Why is it that they supply money to help the government in a country and then turn around and give the CIA money to help the rebels fight the government in that same country The farmers are not allowed to grow certain things Now they are fixing to cut down milk they are not allowed to have but so much milk They arent allowed to grow but a certain amount of vegetables Mills are not running as they are supposed to run on full shift Countries can come in here and bring their merchandise and sell it for as much as they want but we cant take it and sell it in their county our merchandise Like these new cars yet we cant go over there and sell them,NA,0,NA,"I like the Democratic party.  They are for all the people, not just some.  They are for the poor people.  The Republican party is for the rich people."
130,130,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,1,0.666666667,4,NA,0,NA,NA,0,NA,NA
131,131,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,0,0.666666667,3,21,1,Everything they do for the rich man They dont do anything for elderly and unemployed,NA,0,NA,"Everything they stand for.  I'm not that strong into politics.  What they say they're going to do.  Politicians always say they are going to do something, everything in general."
132,132,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,0,1,7,Republican,1,0,0,0,1,0,1,1,0,0,1,0,1,6,88,0,NA,Agree with policies and platform.,1,Dont believe its always truthful in the promises it makes,NA
133,133,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,7,Republican,1,0,0,0,1,0,1,1,0,0,0,0,1,6,8,1,In 1985 we have to have a better farm program instead of PIC,Conservative.  Have good economic policies.  Treat defense modern with up to date equipment.  Don't hand out excessive social programs.,1,Too liberal Spend spendspend tax tax tax Tip ONeil Dont like him,NA
134,134,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,1,0,0.333333333,9,79,0,NA,NA,0,NA,NA
135,135,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,0,1,0,3,Democrat,0,1,0,1,0,0,1,1,0,0,0,0,0.666666667,4,8,1,Its the younger people You cant keep spending The bank will shut you off but the government can keep on spending,"Some of these issues, it goes back to employment but there's the deficit.  I think it's a quick fix.  It's going to be our children that will suffer and there's no end to the amount of money that can be spent because it isn't backed by gold but the interest is the problem.  They've improved employment.",0,NA,"We could get some communications with some of our not friendly people on our nuclear --The Russians and Cubans.  We have to live with them.  I like to give the Democratic party a try.  I don't think it's the party so much as the man running the party.  On our trade, I think we should shut down some of our imports to balance it out such as Japan on the autos, Brazil on the coffee."
136,136,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,6,Republican,1,0,0,0,0,1,1,1,0,0,0,0,1,3,67,0,NA,"He's done all he could.  We've all got along.  He's helped the poor all he could.  Worked for social security.  Tried to keep prices up as good as he could on hogs, cattle, corn.  Got the interest down a little.",1,Theyll get everything so high we cant keep going,NA
137,137,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,7,Republican,1,0,0,0,1,0,1,1,0,0,0,1,0.666666667,6,8,1,There is one thing I dont like about either party In political campaigns they get too involved with trivial things rather than concentrating on fundamental issues In the campaign it would have to be like Reagan when they had the microphone on and he said something about the bombing of Russia and the Republicans have made a big deal over Ferraros finances and I blame it solely on the media,Their conservative attitude which entails their basic ideas and fundamental planning.,1,Their liberal attitude Their whole ideas I dont like I dont agree with their platform I dont agree with them at all on anything,NA
138,138,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,3,Democrat,0,1,0,1,0,0,1,1,0,0,0,0,1,4,8,1,Dedicated to the wealthy and push people who need help most down Tax poor When reach certain financial point you turn Republican So far they have shown they would straighten out economy by hurting the poor financially,NA,0,NA,Liberal and for the down-trodden.  Share the wealth better.  Take care of the disabled and sick.
139,139,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,1,4,33,1,They are big business stereotype,"Their positiveness.  Just ever since I was a child, they seem more intense and have more loyal backers.  Talk to some people who are Republicans and they are very positive about their feelings for their candidates.",1,Not always true to what theyre supposed to stand for They are just as big business minded as they say the Republicans are,"What they overall stand for, for the every day person."
140,140,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,1,Democrat,0,1,0,0,1,0,3,0,0,1,1,0,0.666666667,4,21,1,Theyre for big business Theyre more old fashioned They want to stick to old beliefs They dont want to change They want things to stay the way they were,NA,0,NA,I guess that they are willing to put a woman in charge.  They've proved that by nominating Geraldine Ferraro for vice president.  It seem like the Democratic party is more concerned about the working class.  They're trying to help the working person.  It seems in the Republican party. the rich get rich and the poor get poorer.
141,141,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,0,0.666666667,4,NA,1,They are for the rich and to hell with the poor It seems like theyre for big business not small When we were in Vietnam the Republican party got rich,NA,0,NA,"They are for the people. Seems like when they are in, people are working, bringing in good pay checks so they can raise a family decent."
142,142,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,1,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,1,1,1,2,21,1,They dont support the equal rights amendment I dont like their promotion of nuclear weapons I dont think they should help business and assume a stronger economy helps everyone else I dont believe in the trickledown theory I dont think they should turn national problems to the states who arent equipped with dealing with them properly They arent concerned with preserving the environment,Abortion has become a federal and political issue.  Republicans don't agree to using abortion as a means of birth control.,0,NA,They're more concerned about the environment.  More compassionate towards lower income people.  More dedicated to equal rights for women and minorities.
143,143,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,2,Democrat,0,1,0,0,0,1,1,1,0,0,0,0,0.666666667,9,8,1,The fact that historically its been making the rich people richer and the poor people poorer Until recently its always been for the rich Tax breaks Middle and poor people paying so much tax Multibillion companies paying no tax I think Reagan has changed that quite a lot,"They come across as being more business minded people.  Of course, it's made up of business people.",0,NA,"I like what it stands for, that it's for the working people."
144,144,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,0,0.666666667,3,22,0,NA,NA,1,They dont have a good leader I dont think Mondale is any good,NA
145,145,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,2,Democrat,0,1,0,0,0,1,1,1,0,0,1,0,0.333333333,9,NA,0,NA,NA,0,NA,They helped the poor people better than the other one that helps the rich.
146,146,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,0,0,0.333333333,9,58,0,NA,NA,0,NA,NA
147,147,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,0,0,1,1,Democrat,0,1,0,0,1,0,1,1,0,0,0,0,0.666666667,5,21,1,Their president has no idea of running a government Its all done by his advisors Thats backfires on him His first 6 months everything backfired on him with Stockman and his advisors Then they backed down and said it wasnt right they are out to break all the unions They by business can do as they please anymore and the unions are curtailed If they dont like it all they do is foreclose under government protection Just too much protection for the rich income tax writeoffs,NA,1,Theyve been fighting between one another the last few years Not enough harmony in their party,"They're not a money man's party like some.  They don't cater to the rich as much.  They're more fair to more people, to the working class.  They cover more area.  They were out for social programs to poor, school lunches.  They always had a better feeling for farm areas.  They are more open on their politics.  We hear more of what's going on every day, not a month afterwards.  They work more with people so they know more what's happening at all times.  They aren't so blunt with the working class."
148,148,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,4,Pure Independent,0,0,1,0,0,0,1,1,0,0,0,0,0.333333333,9,11,0,NA,NA,0,NA,NA
149,149,1984,1,0,0,0,0,0,0,0,0,0,1,FTF,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,1,0,0.666666667,5,21,0,NA,NA,0,NA,They're conservative and I'm conservative.
150,150,1984,1,0,0,0,0,0,0,0,0,0,1,Tele-Post,1,0,0,5,Republican,1,0,0,1,0,0,1,1,0,0,0,0,0.333333333,3,21,1,They have more of a tendency to mess with the taxes They will up your taxes to get what they want so the government wont have to cut back,They stick up for their country.,1,They are king of marshmallow like As far as national security I think theyd back off faster than Reagan,Democratic means fair.  They are more worried about the people than the money.